,time_posted,job_title,employer,location,salary,url,description,experience,key_words
10,16h,Project Specialist - Pharmaceutical Industry,Evolve Scientific Recruitment,Melbourne,NaN,http://www.seek.com.au/job/38309794?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"About the company and role:
Our client is a well known and recognized Pharmaceutical company who believe in investing in the personal and professional growth of their employees through training and recognition within a supportive team environment. Evolve Scientific Recruitment have partnered with our client to source an experienced Project Specialist initially for 6 months with view to ongoing.The main focus of this position will be to assist in the build out and development of detailed project schedules and provide training and support to Project Managers. The Project Specialist may also be responsible for managing data quality, system maintenance, report generation, and support other ad hoc Project Operations initiatives.

This role will involve but is not limited to:

Assist the Project Operations teams and Project Managers in the development of detailed project schedules, ensuring all project activities, dependencies, and durations are captured correctly.
Providing guidance and support to project team members
Support Project Managers with recurring updates to their project plans or project data.
Generate standard and ad hoc reporting for Project Management management portfolio planning,
therapeutic leadership and project teams.
Ensures timely communication of key activities and deliverables to teams within Project Management
and to all relevant stakeholders.
Develops and maintains strong working relationships with both internal and external collaborators and
stakeholders across the business.

As the successful candidate you will have completed a Bachelor of Science (Higher Degree) and have demonstrated Project Management experience within the Pharmaceutical industry. Excellent communication, leadership and time management skills are essential for this role. If you feel you are quick to learn new skills, are enthusiastic and self motivated then this is the position for you!

How to apply:

Click on the ""Apply Now"" button with a cover letter addressing the selection criteria above AND a detailed resume.
Where possible we would prefer MS Word documents as sometimes PDFs may be corrupted and your application may not be processed. For FREE resume and cover letter templates and other job-seeking resources to strengthen your application, go to www.cteaa.com.au
Please note: we accept applications only from Australian and New Zealand residents with valid Australian work rights; this include temporary residents on visas such as the Working Holiday Visa.


How to Apply:

Click on the ""Apply Now"" button with a cover letter addressing the selection criteria above AND a detailed resume in WORD format (PDFs can be corrupted / not processed). Note: Applications only accepted from Australian / NZ residents with valid Australian work rights or temporary residents on work visas e.g. Working Holiday Visa.

Need more information:

Please call Dr Aphrodite Anastasiadis-Pool on 03 90401630.

How to Register with Evolve:
For upcoming positions please click on the ""Apply Now button. By applying to any of our roles you will also be registered for future positions unless you request not to be.

Why Evolve Scientific Recruitment?
Evolve is an award winning agency specialising in scientific/technical recruitment in: Pharmaceutical, Food, Biotechnology, Chemical, Petrochemical, Environmental, Health Services, Life Sciences, and Mining",NaN,NaN
11,16h,Health Promotion Officer (Aboriginal Communities),Family Planning NSW,Sydney,NaN,http://www.seek.com.au/job/38309789?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Family Planning NSW is the state's leading provider of reproductive and sexual health services. As an independent not–for–profit organisation we offer expert clinical care, information and advice for every body in every family as well as education and training and evidence–based research to support doctors, nurses and other professionals.",NaN,NaN
12,19h,SAS Developer - Financial Services,Greythorn,Sydney,600 - 650 p.d. inc  super,http://www.seek.com.au/job/38309717?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Well known market leader seeks a skilled SAS developer who is equally happy coding as they are going out and interacting with the business. In this case directly engaging with Finance Business Unit stakeholders.
Please note there are 2 methods of engagement available to you
You can engage as a contractor with a max daily rate of $650 per day inclusive of super OR you can engage as a fixed term contractor up to 130,000 inclusive of super pro rata for a 6 month period to take advantage of pro rata annual leave etc.The choice is yours!
The core function of the role like many other developer roles is to extraction, transformation and creation of analytically ready data so it can be used and deliver insights and outcomes for the business.
As stated above there are 2 methods of engagement available to you. Either daily rate contractor of $5\650 per day inclusive of super or a fixed term option of $130,000 including superannuation pro rata for a period of 6 months. The choice is yours!
You will work in the insights area of the Business so responsibilities will encompass:
Working with business units to understand financially related data elements, including identification of relevant reference data, meta data and data lineage.
Ability to work collaboratively within an Agile delivery framework.
Analyse source system data and identify any derived measures that are used by business.
Development of data definitions, including business rules, physical level data rules, field types, formats, profiling, data sourcing and end usage of the data.
Source data identification, involving identifying the optimal source of the required data variables
Data Investigation where you analyse data for issues to help determine the root cause of the issue and where required, the development of business rules that need to be applied.
Provide thought leadership and subject matter expertise on data ready for the various key teams.
Maintain and enhance analytical data knowledge
Engineering, detailed design and optimisation for data processes
Managing changes and providing thought leadership on how data needs to be managed, delivered and created.
Support the area through BAU
To be successful you need to have been doing this role for a while!
We don't mind if its gained overseas or locally as long as you a re confident going out and interacting with the business directly.
So with this in mind when we read your CV is should clearly indicate :
Essential:
Credit Risk and/or Banking Product experience, as stated above, here or overseas!
5+ years of commercial SAS experience particularly in data manipulation and cleansing.
5+ years commercial SQL experience.
SAS DI would be highly Advantageous.
5+ years of Business Analysis and Functional & Non Functional Analysis experience.
5+ years experience within projects and/or delivery of business and technology solutions,
5+ years of experience in data quality analysis and remediation.
5+ years working in a large and complex organisation.
Good knowledge and hands on experience working with data in multiple formats.
So if you have recently returned from holidays or move to Sydney we look forward to your application today.Please feel free to call Rebecca Ward.
Experis ANZ is parent to a portfolio of brands; Greythorn, Safesearch, Marks Sattin, GT-X and Global Attract. These brands make up our core specialisations for Technology & Digital, Accounting & Finance, Engineering and Workplace Health, Safety and Environment. When you apply for this opportunity you will be directed to the parent website www.experis.com.au to lodge your application. Experis is part of the ManpowerGroup, a global leader in offering end to end workforce solutions.

If you're curious and willing to have a conversation about this role, please pick up the phone and speak with our recruitment specialist below. Even if this doesn't sound like the right role for you, we encourage you to join our talent community so your skill set can be the first considered when another opportunity arises. Click register on our website www.experis.com.au.

Rebecca Ward
Technology & Digital
Resource Recruitment Associate
Let's Connect
https://www.linkedin.com/in/rebecca-ward-0b41b6120/
+61 2 9249 8041",5+ years,NaN
13,21h,Business Analyst,Green Light Australia,ACT,NaN,http://www.seek.com.au/job/38309600?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Green Light Australia require a Business Analyst to join our Canberra delivery team and help determine customer requirements and communicate them effectively to all stakeholders involved. 

RESPONSIBILITIES:
Can research and analyse business, regulatory and technical goals to inform policy, standards and procedures development
Assist with on-boarding plans for BAU
Service level reporting, procedure manuals, operational procedures and support plans etc.
Work with senior stakeholders who manage operational lines of business or the Account.
Work with a technical team, Project Managers and Architects 
Understand the relevant technical design methodologies and frameworks
Review design and testing deliverables to ensure completeness of requirements
Develop system and design requirements utilising modelling and analysis tools in alignment with departmental methods, standards and business requirements.
 
REQUIREMENTS:
NV1 Security Clearance
Experience facilitating requirements analysis sessions, product training workshops and end user training
Demonstrated experience in writing high-level documents
workshop facilitation for requirements, problem solving, planning, dealing with escalations and solution gaps
Strong written communication
Experience in preparing, packaging and delivering policies, standards and procedures
Self-starter who can work with or lead others to delivery
Can establish working relationships with stakeholders from business and technical domains
Responsible for eliciting, scoping, classifying and defining Business Requirements into Functional and Non-Functional Requirements and technical specifications


Green Light is one of Australia's most successful and fastest growing IT services businesses. We offer a wide range of IT services in Security, infrastructure and Systems Integration to a diverse customer base throughout Australia, New Zealand, SE Asia and Europe. If interested in the role, please contact Dan on 0435 734 410",NaN,NaN
14,23h,Customer Service Consultant - Utility Life Support,Aegis Services Australia,Melbourne,NaN,http://www.seek.com.au/job/38309505?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"• Exciting opportunity to make your mark in a global company
• Fun, rewarding and supportive team environment
• Melbourne CBD Location, close to public transport
About Startek-Aegis
Startek & Aegis is a global outsourcing and technology services company committed to impacting clients’ business outcomes by focusing on enhancing customer experience across all touch points and channels. The combined entity has operations in 61 locations across 13 countries with more than 50,000 employees. The company services over 150 clients from verticals such as Banking and Financial Services, Insurance, Technology, Telecom, Healthcare, Travel & Hospitality, Consumer Goods, Retail, and Energy & Utilities.
About the role and responsibilities
Reporting to our Operations Manager, you will be responsible for providing outstanding customer service and ensuring the timely and accurate reporting of end-user Customer and Retailer life support calls for Electricity and Gas distribution networks. You will interact with other business units and client departments to report, escalate and investigate faults, emergencies and general service functions which impact customers on life support systems.
Customer contact will be inbound and outbound calls, email and written correspondence.
This role is on a 12 month fixed term contract with an opportunity for extension. You will be required to work from Monday to Friday, 9:00am to 5:00pm with flexibility to assist during periods of increased call volume
In this role you will be required to, but not limited to:
• Register, prioritise and manage customer expectations around fault and emergency response times, diagnosis and resolution of the reported fault in line with business  Service Level Agreements and Standard Operating Procedures.
• Meet and aim to exceed all personal and team based Key Performance Indicators
• Ensure strict adherence to Industry, regulatory, contractual and other compliance standards
• Demonstrate a professional level of conduct consistent with the company values
• Liaise with the Client and internal departments as required in the fulfilment of duties
To be successful in this role, you will ideally possess:
• Experience in a role providing customer service to persons requiring specialist care or support, or experience in a clinical or health administration/support role
• Previous customer service experience within a Utilities company (Gas/Electricity) - advantageous
• Outstanding customer service skills with the ability to empathise with customers
• Effective and appropriate communication skills, both written and oral
• Sound business judgement and decision making ability
• Ability to work in a high pressure environment with the possibility of life threatening situations and difficult callers
• Strong self-motivation with the ability to work well autonomously within a team environment
• Attention to detail, accuracy and strong data entry skills
• Computer literacy and confidence in learning and using multiple systems
• Previous Experience with SAP – advantageous
In return, we will offer the successful candidate:
We will provide you with the tools and support to be successful. Your work environment will deliver all the freedom you require to think, try new things and to have a go.
A competitive remuneration package will be offered to the successful candidate.
The successful applicant will be required to complete a criminal check (which we will conduct) and all offers of employment will be made pending the successful outcome of this check.
To join our team, apply now!
No agencies please.
Aegis values your privacy. Please refer to www.aegiscareers.com.au to view our privacy statement. © 2018, Aegis Services Australia",NaN,NaN
15,23h,"Senior Business Analyst - Legal, Risk and Compliance",Employee First,Sydney,NaN,http://www.seek.com.au/job/38309502?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Thanks for stopping by our job advertisement. 
Job hunting is frustrating. You know it and we know it. At Employee First try to keep the humanity in the job process. You will get a response from us - Even if that response is to say not suitable this time - and if there is a potential match we will set up a call with you to discuss the role and the client, and together decide if it is a suitable role for you 

THIS IS A LONG TERM DAILY RATE CONTRACTING OPPORTUNITY - WITH A 6 MONTH INITIAL CONTRACT

The role requires someone who has Legal, Risk and Compliance experience when developing business requirements. This includes the ability to understand, interpret and document their needs so that it can be used by the process, architecture and systems teams successfully.

Experience
1. Experience in the Finance Industry – banking preferred (5+ years min)
2. Experience in Risk and Compliance projects is preferred
3. Understands and has proven experience in
a. Requirement gathering including running workshops
b. Interviewing/consulting SMEs
c. Documentation preparation and delivery
d. Understanding process requirements & implications
4. Agile exposure, preferably SCRUM certified
5. Stakeholder/ relationship management

We are looking for someone senior due to the following additional responsibilities over and above a standard Business Analyst’s duties:

• Provide agile leadership to the existing BA’s, assisting them to manage their output aligned to an agile method of working in addition to contributing directly to those deliverables
• Support a Business SME with specific marketing activities

To be successful in this opportunity you will be an experienced BA, with proven success to point to and explain in interview. 
You will be an excellent communicator and influencer. You will be flexible, personable and highly collaborative. 

If this sounds like your next challenge show your interest by applying for this role.

Have a nice day.",5+ years,NaN
16,1d,Internal Technical Salesperson,Server Racks Australia,Southern Highlands & Tablelands,NaN,http://www.seek.com.au/job/38309444?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"About the business
SRA Solutions (Server Racks Australia) have over 30 years experience in 19"" Rack Manufacture and we are a major player in the delivery and installation of Data Centre Infrastructure and Server Room Solutions to the Australian Data Centre Market.
About the role
Key responsibilities will include:
Improve our customer service experience, create engaged customers and facilitate organic growth
Communication with clients regarding specific product, designs, delivery and packaging requirements during the quoting and/or production process
Provide general & technical support to both clients and our internal team
Preparing Proposals & Quotes with data entry into order management and CRM software.
Product costing and coordination with internal procurement team and local and overseas suppliers
Close liaison with production, logistics & design teams to ensure quality control, production procedures and distribution/logistics expectations are met & exceeded
End to end sales order management
Ongoing problem solving of internal and external customer enquiries
Respond to email requests
Prioritise workload according to business needs
Keep accurate records and document customer service actions and discussions via CRM
Benefits and perks
A professional and technical environment, with a close knit and talented team, utilising the latest communications and business software.
On the job training from a team of people who will invest in your career development.
Immediate start available for the right candidate.
Skills and experience
To be successful you will require:
An energetic and professional telephone sales manner
Understanding of Microsoft suites, Google Suites, CRM
Superior time management & prioritising skills
The ability to think strategically to create the best outcomes
Be a team player and have the ability to work in a changing environment
Have some technical knowledge or have engineering experience combined with solution selling skills
Data Centre Infrastructure experience is a positive",30 years,NaN
17,1d,WMS Project Analyst,ADVIZA,Sydney,"70,000 - 89,999 base plus commission",http://www.seek.com.au/job/38309430?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"CLIENT DESCRIPTION            
Our client is a Global Leader and one of the most recognised and respected Logistics companies in the world. Employing thousands of staff and generating billions in revenue. Due to internal promotions and constant growth our client is seeking an experienced and highly motivated Analyst to join their IT team.
  JOB DESCRIPTION
Based in Sydney reporting to the General Manager you will be expected to generate sales based on our client's strategic target list, develop offerings to stay ahead of market and to secure business and develop opportunities with digital implementation of supply chain solutions.
  EXPERIENCE REQUIRED
To be considered for this exciting opportunity you will possess:
2yrs+ Warehouse Management Systems experience 
Minimum 2 years Supply Chain experience.
Strong communication and networking skills
Experience with Retail, Consumer, Healthcare and FMCG
  SALARY PACKAGE
Generous Salary – car allowance, Amazing Bonus + phone, laptop and other perks. 
  HOW TO APPLY?
Email your resume to Brian Cassidy at brian@adviza.com.au or phone directly on 0422 414 414 for a Private and Confidential discussion.",2 years,NaN
18,1d,Field Service and Installation Technicians Syd and Melb,Server Racks Australia,Sydney,NaN,http://www.seek.com.au/job/38309418?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"About the business
SRA Solutions is based in Queanbeyan, NSW. We are Australia's most respected and successful 19″ Rack manufacturer. We provide server room and turn-key data centre infrastructure.  At SRA Solutions we're known for being an innovator and for providing exceptional customer service.
About the role
Sydney and Melbourne applications only
*Please nominate your State of residence to apply for Sydney or Melbourne.

We are looking for a highly motivated Field Service Technician who will be responsible for a wide variety of hands-on design and manufacturing projects, working with clients to develop ideas from measure and quote,  through to design, build, implementation, test and maintenance.
This role offers a broad variety of responsibilities and great learning and development opportunities.
Duties and Responsibilities
Design, install and maintain critical Data Centre Infrastructure including, racks, containment, secure cage, UPS and cooling systems and perform in-house and on-site repairs as required in accordance with service and maintenance agreements.
Modify or update equipment where required.
Liaise with Project Management to carry out site inspection, commissioning and testing of Project jobs. This will involve the creating, modifying of all documentation and reports for submission.
Provide Technical assistance/support to Technical staff and Service contractors.
Undertake training and provide training, for customer staff and sub-contractors where required.
Comply with the company's policies and procedures.
Be aware of the company's and your own obligations under the Occupational Health and Safety Regulations as well as the company's documented Quality Management system.
Be aware of the companies and your own obligations under the relevant Environmental Regulations.
Ensure the company's Quality Assurance objectives are met.
Work in a team environment.
And any other job-related duties that may be requested from time to time.
  Benefits and perks
A competitive salary package, including allowances, will be negotiable and commensurate with skill level and experience.
Local and Interstate travel up to 30%
Skills and experience
5 year's experience in a technical role
Customer service experience
Australian/English language written and verbal communication skills
Computer skills including MS Office, Excel, Word and ERP systems
Report writing and administrative
Organisational skills
You will work with internal skilled trades, operators and outside vendors.
Experience in the sheet metal manufacturing industry would be an advantage but not necessary.
Ability to maintain a flexible schedule to support client demands as required.",5 year,NaN
19,1d,QA Lead- Network/ Hardware- Permanent,Private advertiser,Melbourne,"100,000 - 119,999",http://www.seek.com.au/job/38309359?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Melbourne based, fully funded start-up of over 50+ people that has built a sophisticated cloud-based SaaS application.
Our world class product transforms large volumes of data into meaningful insights that businesses across all industries can action to deliver results.
We need a QA Lead to be  responsible for driving and improving the quality assurance processes across all of the technical team.
With a world wide market for it’s suite of products we need someone to lead the testing and support of a variety of changes to existing network and hardware  systems.
  You will be responsible for:
  Own, define and deliver the QA strategy and roadmap for networks, infrastructure and hardware
Owning and continually pushing for improving our QA practices
Monitor, action and resolve technical issues effectively and in a timely manner
Proactively ensure highest levels of systems and infrastructure availability
Work on projects. Perform upgrades for IT infrastructure software and hardware
Manage testing of virtual and physical servers and storage
Update and maintain IT documentations and inventory
Ensure that a high quality of service and customer focus is maintained at all times
Respond to high level business critical issues to ensure continuity of service
Implement, test and deploy upgrades and fixes onto the live platform
Support load tests and troubleshoot carrier, network and application issues.
Use your system knowledge and technical skills to identify and document ways of improving monitoring and system resource utilization
Address any ad-hoc requests that are raised to the team.
To be successful in this role, you will need to demonstrated  the following:
  3+ years in a role providing QA for networks and infrastructure in a Saas company
Understanding and working to product test plans to ensure the delivered solution meets the requirements and deliverables of the customer.
Assisting in the development and completion of test plans.
Identifying testing requirement scenarios.
Reviewing and self-assessing test coverage ensuring traceability, quality assurance and quality completeness for own and others work.
Develop functional and End to End test scenarios, test cases and traceability requirements for operational systems
Proven experience promoting continuous improvement and modernisation of QA practices
  Outstanding opportunity to take a hands-on  role in a growing company that is making a world class product.
If you want to know more send along your resume and we will be in touch to discuss if your background is a good match. ",3+ years,NaN
20,1d,Pega Platform - Solution Architect v- $1000 p/d,Total Resource Solutions,Melbourne,1200/day + GST,http://www.seek.com.au/job/38309220?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"PROJECTS DON'T GET BIGGER THAN THIS - PEGA

Large PEGA greenfield project - design & development of PEGA Bnaking Frameworks - Pega banking frameworks like CPM-FS, CLM-FS, CS, Smart Investigate, Disputes, FSIF, CLM, PDFS etc

Desired Roles:

Snr Pega Systems Architects x 2
Pega Systems Architects x 2
Business Process Architect
PEGA developer
Key skills (role dependent)
Pega Certifications would be ideal.
Minimum 2 years Pega experience with ideally 1-2 full lifecycle projects.
Ability to prepare comprehensive functional and technical specifications and solution architecture documentation.
Experience on any of the Pega banking frameworks like CPM-FS, CLM-FS, CS, Smart Investigate, Disputes, FSIF, CLM, PDFS.
Experience in developing business processes using BPM methodologies on Pega BPM platform
Experience on the implementation of technical deliverables such as processes, services, user interfaces, integrations, database queries, and web services, REST APIs, reports using Pega PRPC 7.
Key Accountabilities:
Proven track record in enterprise and/or solution architecture delivery, design and governance.
Complete understanding and experience in PEGA architecture and design, and case management best practice.
Ability to become a trusted advisor to senior stakeholders and technical teams
Appraising and reporting on new industry techniques and vendor products, and making recommendations on the acquisition of advanced technology
Proven ability to introduce technology that evolves the enterprises culture
Business facing workshop facilitation and requirements gathering, strong business acumen and management consultancy skills
Provide technical leadership; contribute to achieving team, project, programs and business outcomes
Providing support and consultative advice to project managers, peer architects and key stakeholders across the enterprise
Create solutions which follow secure industry best practice Demonstrable Knowledge, Skills and Experience
Promoting the use of shared infrastructure (ie., AWS) and applications to reduce costs and improve information flows.
Developing architecture models to represent system, application and data architecture designs and implementation patterns
Please call Paul Ansell on 02 8705 8540 (Melbourne role though), for more info or apply now.",2 years,NaN
21,1d,Data Modeller,Total Resource Solutions,ACT,1250/day + GST,http://www.seek.com.au/job/38309197?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Data Governance Specialist – Federal Client

The role is to continue the Departments focus on establishing process and protocols to improve the quality, governance and use of its data and information to inform evidence based decisions across all level of the organisation.

They require multiple Data Modellers to perform Logical, Physical & Conceptual Data Modelling in order to identify and define master and reference data assets to enable an automated, repeatable and organization-wide approach.

Must be NV1 to enable a start date within the next 4-6 weeks .

 Key Functions:
Supporting the updating with Data Stewards and Data Owners the information in the data sets on the Information Asset Register.
Contribute to the development and analysis of business systems, data, processes and procedures to support good information management and governance across the department
Maintain information resources in one or more settings including: business records, data modelling, statistical data, metadata and intranet.
Oversee the implementation of information management procedures, policies and roadmap, including providing training, monitoring compliance and reporting on outcomes.
Consulting and negotiate with multiple internal and external stakeholders building successful working relationships and business processes
Research practical and conceptual issues and recommend and implement improvements
If you have relevant experience, please apply with your latest CV and we will be in contact shortly!",NaN,NaN
